sens	x	y
1	19.5	23
2	16.5	20
3	21.5	19
4	18.5	15
5	16.5	12
6	21.5	12
7	18.5	8
8	16.5	4
9	19.5	2
10	21.5	5
11	24.5	3
12	27.5	1
13	28.5	5
14	32.5	6
15	35.5	3
16	39.5	2
17	39.5	8
18	35.5	10
19	37.5	13
20	40.5	17
21	36.5	18
22	39.5	23
23	35.0	24
24	39.5	30
25	36.5	30
26	33.5	31
27	32.5	26
28	30.5	31
29	28.5	26
30	27.5	31
31	25.5	28
32	23.5	31
33	21.5	26
34	19.5	30
35	16.5	27
36	14.5	31
37	13.5	26
38	10.5	31
39	10.5	26
40	7.5	28
41	4.5	30
42	1.5	30
43	5.5	24
44	0.5	22
45	3.5	19
46	6.5	16
47	1.5	14
48	5.5	10
49	1.5	6
50	2.5	1
51	5.5	4
52	9.5	6
53	12.5	5
54	14.5	2
